이름,주소,위도,경도
청담고등학교,경기도 평택시 팽성읍 송화리 821,36.9627249,127.0614106
태광고등학교,경기도 평택시 신장동 263-314,37.07375795,127.0521805
안중고등학교,경기도 평택시 안중읍 현화리 292-3,36.98662664,126.923069
동일공업고등학교,경기도 평택시 비전동 135-4,36.99191412,127.1175459
평택마이스터고등학교,경기도 평택시 비전동 564,36.99894103,127.0899308
송탄고등학교,경기도 평택시 이충동 137-5,37.05631902,127.0693236
은혜고등학교,경기도 평택시 장안동 390-1,37.06696737,127.0802458
한국관광고등학교,경기도 평택시 고덕면 당현리 40-3,37.07164297,127.0218685
라온고등학교,경기도 평택시 서정동 2-73,37.06952369,127.0670094
신한고등학교,경기도 평택시 비전동 224-7,36.99347443,127.1042794
평택고등학교,경기도 평택시 합정동 368-11,36.98973504,127.1088811
진위고등학교,경기도 평택시 진위면 가곡리 505,37.11112929,127.0687713
경기물류고등학교,경기도 평택시 안중읍 안중리 293-46,36.9869058,126.9294215
비전고등학교,경기도 평택시 비전동 1088,37.00081299,127.1052149
이충고등학교,경기도 평택시 이충동 657,37.0574423,127.0647293
효명고등학교,경기도 평택시 장당동 470,37.0494263,127.055205
한광여자고등학교,경기도 평택시 비전동 504,36.99691259,127.0959993
현화고등학교,경기도 평택시 안중읍 현화리 830-1,36.97903929,126.9172706
평택여자고등학교,경기도 평택시 세교동 1-2,37.01272886,127.09014
한광고등학교,경기도 평택시 비전동 504,36.99710193,127.0959459
청북고등학교,경기도 평택시 청북읍 옥길리 1145,37.02256084,126.9194518
